STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 15:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 16:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 17:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 18:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 19:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 20:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 02:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 03:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 04:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 05:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 06:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 07:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 08:00,0.11, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 09:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 11:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130105 13:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 11:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 13:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 14:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 15:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 17:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 18:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130106 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130107 04:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130109 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130109 20:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130109 21:00,0.05, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130109 22:00,0.03, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130109 23:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 00:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 01:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 02:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 03:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 05:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 06:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130110 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130112 04:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130112 11:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130113 17:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130113 18:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 17:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 18:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 20:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 21:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 22:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130116 23:00,0.03, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 00:00,0.04, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 01:00,0.04, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 02:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 11:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130117 13:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 08:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 09:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 14:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 15:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 17:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 18:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 20:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 21:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130119 23:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 01:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 02:00,0.03, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 03:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 04:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 05:00,0.07, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 06:00,0.11, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 07:00,0.04, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 08:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 09:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 13:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 15:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 17:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 18:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 20:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 21:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130120 22:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130123 00:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130123 01:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130124 13:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130124 14:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130124 15:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 03:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 04:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 05:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 06:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 07:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 08:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 09:00,0.03, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 10:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 11:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 13:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 17:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 21:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 22:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130130 23:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 00:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 01:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 02:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 03:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 04:00,0.04, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 05:00,0.16, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 06:00,0.16, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 07:00,0.07, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 08:00,0.07, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 09:00,0.08, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 10:00,0.05, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 11:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 12:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 13:00,0.10, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 14:00,0.03, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 15:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 19:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 20:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 21:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 22:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130131 23:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130101 01:00,0.00,g, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130106 14:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130106 15:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130106 16:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130106 17:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130106 18:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130124 05:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130124 06:00,0.00,T, 
COOP:040822,BISHOP AIRPORT CA US,1250.3,37.3711,-118.358,20130124 11:00,0.00,T, 
COOP:101079,BONNERS FERRY ID US,632.5,48.6928,-116.3104,20130101 00:00,999.99,], 
COOP:101079,BONNERS FERRY ID US,632.5,48.6928,-116.3104,20130101 01:00,999.99,[, 
COOP:130853,BOYER 4 SE IA US,442,42.1255,-95.1886,20130101 01:00,0.00,g, 
COOP:130853,BOYER 4 SE IA US,442,42.1255,-95.1886,20130127 08:00,0.10, , 
COOP:130853,BOYER 4 SE IA US,442,42.1255,-95.1886,20130130 06:00,0.10, , 
COOP:241102,BRIDGER 2 N MT US,1092.1,45.3261,-108.9091,20130101 01:00,0.00,g, 
COOP:241102,BRIDGER 2 N MT US,1092.1,45.3261,-108.9091,20130127 14:00,0.10, , 
COOP:241102,BRIDGER 2 N MT US,1092.1,45.3261,-108.9091,20130128 10:00,0.10, , 
COOP:241102,BRIDGER 2 N MT US,1092.1,45.3261,-108.9091,20130130 21:00,0.10, , 
COOP:241102,BRIDGER 2 N MT US,1092.1,45.3261,-108.9091,20130131 09:00,0.10, , 
COOP:240019,ABSAROKEE MT US,1181.1,45.5508,-109.388,20130101 01:00,0.00,g, 
COOP:240019,ABSAROKEE MT US,1181.1,45.5508,-109.388,20130111 07:00,0.10, , 
COOP:240019,ABSAROKEE MT US,1181.1,45.5508,-109.388,20130111 20:00,0.10, , 
COOP:240019,ABSAROKEE MT US,1181.1,45.5508,-109.388,20130129 16:00,0.10, , 
COOP:240019,ABSAROKEE MT US,1181.1,45.5508,-109.388,20130131 06:00,0.10, , 
COOP:140441,ATWOOD 8 SSE KS US,908.3,39.698,-101.0039,20130101 00:00,999.99,}, 
COOP:140441,ATWOOD 8 SSE KS US,908.3,39.698,-101.0039,20130101 01:00,0.00,g, 
COOP:140441,ATWOOD 8 SSE KS US,908.3,39.698,-101.0039,20130101 02:00,999.99,{, 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130101 01:00,0.00,g, 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130111 06:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130111 07:00,0.60, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130111 09:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130112 22:00,0.20, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130112 23:00,0.20, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 00:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 01:00,0.40, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 02:00,0.40, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 03:00,0.30, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 04:00,0.40, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 05:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 06:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 17:00,0.20, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130113 18:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130125 10:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130127 21:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130128 02:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130128 04:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130128 07:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130130 04:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130130 06:00,0.20, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130130 07:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130130 08:00,0.10, , 
COOP:120830,BLUFFTON 6 N IN US,257.6,40.8143,-85.1546,20130130 22:00,0.10, , 
COOP:251145,BRIDGEPORT NE US,1117.4,41.668,-103.1038,20130101 01:00,0.00,g, 
COOP:251145,BRIDGEPORT NE US,1117.4,41.668,-103.1038,20130104 13:00,0.10, , 
COOP:251145,BRIDGEPORT NE US,1117.4,41.668,-103.1038,20130127 08:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130101 01:00,0.00,g, 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130101 15:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130101 16:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130101 19:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130101 20:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130103 01:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130110 09:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130110 20:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130111 09:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130113 20:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130113 21:00,0.60, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130113 22:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130113 23:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 01:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 02:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 03:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 04:00,0.50, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 05:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 06:00,0.30, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 07:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130114 08:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130115 02:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130115 03:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130115 04:00,0.20, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130115 05:00,0.10, , 
COOP:010140,ALBERTA AL US,53.3,32.2322,-87.4104,20130115 06:00,0.20, , 
